Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2647.29543509952/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xcb4b343ddb09bc7e91a11298ec928a3e6a17583a1d3dbe2e309012b763c0cb80,19140412,1706873279,2/2/24 11:27,0x38b601b28669553192a6e461559f903b58d81abe,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.86043,0,2277.812411,0.003201438,8.47515179,2307.85,,,Fill Offer ETH
0xfa90cb510ce447a355094d65ac5ed40e1b34b5e66c01c72de59d98cdffc0574f,19140477,1706874083,2/2/24 11:41,0x09e9f84bec2652e2d8deff5db3699dee76aad1b4,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0,0,0,0.001332401,3.527259775,2307.85,,,Create Token
0x420f103f4692c0598194595bd3c3157ba8f29138ddcdec054f1193453e592ff3,19140508,1706874455,2/2/24 11:47,0x09e9f84bec2652e2d8deff5db3699dee76aad1b4,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.001,0,2.647295435,0.003751956,9.932536401,2307.85,,,New Offer ETH
0xcc687d3c198d246eabd0390a39be1c6a15e98c9810b4d824aa2a9eb3800953fd,19140626,1706875883,2/2/24 12:11,0x2ec80ebf768159308051063ae51dc8952bd5ce67,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.00086,0,2.276674074,0.003199838,8.470916665,2307.85,,,New Offer ETH
0x0c12fee5d0f1fbd6bc2fc2039049e75d5d8d65f6a9e177f31e09baa46cffcb6c,19140955,1706879879,2/2/24 13:17,0xe663025e7243540b95d4805a8603d99d6d3a05d5,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.086,0,227.6674074,0.00320236,8.477593248,2307.85,,,Fill Offer ETH
0x9d7bc981198a032d0cc929334063a026093486febac55ba38df2bb7c353e250d,19140974,1706880107,2/2/24 13:21,0x499ad7d5b5cda2467a849a334057df7f21dcadda,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.4,0,3706.213609,0.003667161,9.708059298,2307.85,,,Fill Offer ETH
0xcf5c0da569e500ff361990932fb196ab88f7b071c46605b636ad53095f43b090,19140991,1706880311,2/2/24 13:25,0xc629e7d2089bed9a6cfc6e2990b72124c5a1a95a,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.01,0,26.47295435,0.004300121,11.38368949,2307.85,,,New Offer ETH
0xdbf63105393f787ad09b9b3e370458b5bdf987a055f7d723a99e04d60136adfd,19141071,1706881295,2/2/24 13:41,0xf02f4b4c44ca4f35d5f9e5e2e814ccbf48c7d98e,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.043,0,113.8337037,0.004236388,11.21496953,2307.85,,,Fill Offer ETH
0x4af4ac7cd3a82c2e406380d7f0b909f8c0fd39932ad6311790eeefabe39bcb51,19141127,1706881979,2/2/24 13:52,0x9fb1750da6266a05601855bb62767ebc742707b1,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0,0,0,0.002765533,7.32118251,2307.85,,,Cancel Offer
0xbc562df7f4d50a3e949643c9aad1e855daa016c205a228a92c0b4fef3e8a2b7f,19141303,1706884115,2/2/24 14:28,0xcf59a4083744a6ae263368542c98d479e6990875,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.02064,0,54.64017778,0.003590011,9.503820889,2307.85,,,Fill Offer ETH
0xb7620f1aec6db99e8f2fea3ce0a607751b8fc4bfbf42debb0ad54364a1b020ad,19141427,1706885615,2/2/24 14:53,0x47c0d4fd47896e412559a6201107c96149ce6129,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0,0,0,0.00202393,5.357941202,2307.85,,,Cancel Offer
0x2fc115b91fe484bb79e45783a7c4db1c286d06c333536a0ad8b6069797c85f04,19141443,1706885807,2/2/24 14:56,0x47c0d4fd47896e412559a6201107c96149ce6129,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,5,0,13236.47718,0.004711194,12.47192231,2307.85,,,New Offer ETH
0x74af6d79ef238eff68ff0def98b9056b0e40c5ad4dc7a3eabb3d0ed4f22eedd8,19141562,1706887235,2/2/24 15:20,0x1ffaec639dc5274825365f76f1b69542b4416597,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.10535,0,278.8925741,0.003499167,9.263330099,2307.85,,,Fill Offer ETH
0xdf43be97f2fca4651ca2bc7a461599cc699cba1dde27b78945317847f1758fd1,19141984,1706892299,2/2/24 16:44,0x0e8684bd8a435a3dea0ab2806a8afd1a31a1cc8d,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.083333333,0,220.6079529,0.003867059,10.23724865,2307.85,,,Fill Offer ETH
0x294462f435d5e824b860a4f9ffc498acb2ff73a9147b7085ba38d600a99917a2,19142066,1706893295,2/2/24 17:01,0xcbbddd2c17ac5055ea2b9bdac7d2ff9ae7af272e,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.168083333,0,444.966241,0.003299102,8.733696848,2307.85,,,Fill Offer ETH
0xff69eb335d1efc184e8dd9742cc00b6942dd0178d6a7e4fe5c213f9abc9cae6b,19142077,1706893427,2/2/24 17:03,0x87473923aaa097fb2198da51a47e9773dbee8b55,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.091666667,0,242.6687482,0.003506499,9.282739027,2307.85,,,Fill Offer ETH
